LocationAbbr,LocationDesc,MortalityPer100k
AL,Clay County,417.7
AL,Cleburne County,388.7
AL,Coffee County,350.9
AL,Colbert County,427
AL,Conecuh County,368.4
AL,Coosa County,322.7
AL,Covington County,344.6
AL,Crenshaw County,326.6
AL,Cullman County,395.2
AL,Dale County,332.6
AL,Dallas County,403.4
AL,DeKalb County,436.3
AL,Elmore County,397.6
AL,Escambia County,351.1
AL,Etowah County,424.8
AL,Fayette County,327.4
AL,Franklin County,436.9
AL,Geneva County,344
AL,Greene County,310.2
AL,Hale County,327.5
AL,Henry County,306.7
AL,Houston County,266.1
AL,Jackson County,389.7
AL,Jefferson County,290.9
AL,Lamar County,364
AL,Lauderdale County,282.6
AL,Lawrence County,448.3
AL,Lee County,305
AL,Limestone County,379.3
AL,Lowndes County,313.3
AL,Macon County,319.8
AL,Madison County,313.4
AL,Marengo County,370.4
AL,Marion County,480.7
AL,Marshall County,429.7
AL,Mobile County,347.2
AL,Monroe County,312.2
AL,Montgomery County,261.9
AL,Morgan County,391.6
AL,Perry County,432.5
AL,Pickens County,297.6
AL,Pike County,334
AL,Randolph County,377.3
AL,Russell County,310.2
AL,St. Clair County,364.3
AL,Shelby County,240.7
AL,Sumter County,372.4
AL,Talladega County,390.1
AL,Tallapoosa County,345.6
AL,Tuscaloosa County,286
AL,Walker County,524.2
AL,Washington County,373.9
AL,Wilcox County,362.2
AL,Winston County,396.6
AL,Autauga County,517.8
AL,Baldwin County,466.5
AL,Barbour County,526.6
AL,Bibb County,447.5
AL,Blount County,458.1
AL,Bullock County,443
AL,Butler County,558.4
AL,Calhoun County,572.8
AL,Chambers County,526.1
AL,Cherokee County,552.1
AL,Chilton County,621.7
AL,Choctaw County,593.5
AL,Clarke County,565.7
AL,Clay County,576.1
AL,Cleburne County,561.7
AL,Coffee County,502.3
AL,Colbert County,502.9
AL,Conecuh County,575.3
AL,Coosa County,496.8
AL,Covington County,539.7
AL,Crenshaw County,447.8
AL,Cullman County,551.7
AL,Dale County,477.3
AL,Dallas County,681.9
AL,DeKalb County,516.7
AL,Elmore County,458.1
AL,Escambia County,488.6
AL,Etowah County,581
AL,Fayette County,469.2
AL,Franklin County,521.2
AL,Geneva County,439.8
AL,Greene County,521.8
AL,Hale County,530.8
AL,Henry County,491.6
AL,Houston County,438.7
AL,Jackson County,431.1
AL,Jefferson County,436.1
AL,Lamar County,418.4
AL,Lauderdale County,493
AL,Lawrence County,492.6
AL,Lee County,491.6
AL,Limestone County,457.1
AL,Lowndes County,428.5
AL,Macon County,543
AL,Madison County,426.7
AL,Marengo County,579
AL,Marion County,473.1
AL,Marshall County,485.1
AL,Mobile County,482.5
AL,Monroe County,607.8
AL,Montgomery County,397.8
AL,Morgan County,465.9
AL,Perry County,629.9
AL,Pickens County,475.4
AL,Pike County,473.1
AL,Randolph County,618.3
AL,Russell County,387.1
